CLAVE,CLAVE ALTERNA,DESCRIPCION,SERVICIO (S/N),INV_MIN,INV_MAX,PRECIO COMPRA,PRECIO 1,PRECIO 2,MAYOREO 2,PRECIO 3,MAYOREO 3,PRECIO 4,MAYOREO 4,EXIST.,PESO,CARACTERISTICAS,DEPARTAMENTO,CATEGORIA,RECETA (S/N),GRANEL (S/N),IMPUESTO (S/N),IMP Regular(S/N)
VMAN-001,9338193,Manicure Vanity DELUXE,true,0,0,0.000,650.000000,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,0.0000,,MANOS,Manicure,N,N,N,N
VMAN-002,9338133,Manicure Vanity  SPA,true,0,0,0.000,600.000000,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,0.0000,,MANOS,Spa Manicure,N,N,N,N
VMAN-003,9338163,Manicure Vanity CLASSIC,true,0,0,0.000,550.000000,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,0.0000,,MANOS,Manicure,N,N,N,N
VMAN-004,21752811,Manicure Vanity FULL CARE,true,0,0,0.000,550.000000,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,0.0000,,MANOS,Spa Manicure,N,N,N,N
VMAN-005,7337395,Gelish,true,0,0,0.000,350.000000,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,0.0000,,MANOS,Gel Nails,N,N,N,N
VMAN-006,9382861,Base rubber,true,0,0,0.000,750.000000,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,0.0000,,MANOS,Nail Extensions,N,N,N,N
VMAN-007,7337392,Nail Refill,true,0,0,0.000,600.000000,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,0.0000,,MANOS,Gel Nails,N,N,N,N
VMAN-008,17611868,Natural Care Nails (Refuerzo sobre uña natural),true,0,0,0.000,600.000000,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,0.0000,,MANOS,Gel Nails,N,N,N,N
VMAN-009,9286406,Soft Gel Extensions - Tamaño #1 y #2,true,0,0,0.000,500.000000,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,0.0000,,MANOS,Gel Nail Extensions,N,N,N,N
VMAN-010,9286406,Soft Gel Extensions - Tamaño #3 y #4,true,0,0,0.000,550.000000,0.000000,0.000,0.000000,0.000,0.000000,0.000,0.0000,0.0000,,MANOS,Gel Nail Extensions,N,N,N,N
